Circuit delay: 914.12 ps

Gate slacks:
INP-n1: 920.40 ps
INP-n2: 977.99 ps
INP-n3: 920.40 ps
INP-n4: 811.00 ps
INP-n5: 811.00 ps
INP-n6: 811.00 ps
INP-n7: 938.85 ps
INP-n8: 571.67 ps
INP-n11: 929.03 ps
INP-n14: 916.56 ps
INP-n15: 977.99 ps
INP-n16: 804.86 ps
INP-n19: 811.00 ps
INP-n20: 811.01 ps
INP-n21: 811.00 ps
INP-n22: 811.00 ps
INP-n23: 811.00 ps
INP-n24: 811.00 ps
INP-n25: 811.00 ps
INP-n26: 811.00 ps
INP-n27: 811.00 ps
INP-n28: 875.33 ps
INP-n29: 805.65 ps
INP-n32: 811.00 ps
INP-n33: 811.01 ps
INP-n34: 811.00 ps
INP-n35: 840.04 ps
INP-n36: 950.44 ps
INP-n37: 886.99 ps
INP-n40: 489.90 ps
INP-n43: 555.63 ps
INP-n44: 817.32 ps
INP-n47: 495.69 ps
INP-n48: 474.35 ps
INP-n49: 478.23 ps
INP-n50: 452.48 ps
INP-n51: 451.78 ps
INP-n52: 537.39 ps
INP-n53: 573.35 ps
INP-n54: 550.61 ps
INP-n55: 697.07 ps
INP-n56: 555.63 ps
INP-n57: 817.32 ps
INP-n60: 495.69 ps
INP-n61: 474.35 ps
INP-n62: 452.48 ps
INP-n63: 451.78 ps
INP-n64: 537.39 ps
INP-n65: 573.35 ps
INP-n66: 550.61 ps
INP-n67: 697.07 ps
INP-n68: 555.63 ps
INP-n69: 817.32 ps
INP-n72: 495.69 ps
INP-n73: 474.35 ps
INP-n74: 478.23 ps
INP-n75: 452.48 ps
INP-n76: 451.78 ps
INP-n77: 537.39 ps
INP-n78: 573.35 ps
INP-n79: 550.61 ps
INP-n80: 697.07 ps
INP-n81: 555.70 ps
INP-n82: 817.32 ps
INP-n85: 495.77 ps
INP-n86: 474.43 ps
INP-n87: 478.31 ps
INP-n88: 452.56 ps
INP-n89: 451.86 ps
INP-n90: 537.47 ps
INP-n91: 573.43 ps
INP-n92: 550.69 ps
INP-n93: 697.15 ps
INP-n94: 964.41 ps
INP-n95: 479.19 ps
INP-n96: 817.32 ps
INP-n99: 735.60 ps
INP-n100: 739.68 ps
INP-n101: 398.90 ps
INP-n102: 364.15 ps
INP-n103: 710.88 ps
INP-n104: 481.58 ps
INP-n105: 475.35 ps
INP-n106: 693.01 ps
INP-n107: 479.19 ps
INP-n108: 817.32 ps
INP-n111: 735.60 ps
INP-n112: 739.68 ps
INP-n113: 398.90 ps
INP-n114: 364.15 ps
INP-n115: 710.88 ps
INP-n116: 481.58 ps
INP-n117: 475.35 ps
INP-n118: 693.01 ps
INP-n119: 479.19 ps
INP-n120: 817.32 ps
INP-n123: 735.60 ps
INP-n124: 739.68 ps
INP-n125: 398.90 ps
INP-n126: 364.15 ps
INP-n127: 710.88 ps
INP-n128: 481.58 ps
INP-n129: 475.35 ps
INP-n130: 693.01 ps
INP-n131: 479.27 ps
INP-n132: 817.32 ps
INP-n135: 735.68 ps
INP-n136: 739.76 ps
INP-n137: 398.98 ps
INP-n138: 364.23 ps
INP-n139: 710.96 ps
INP-n140: 481.66 ps
INP-n141: 475.43 ps
INP-n142: 693.09 ps
AND-n143: 585.52 ps
AND-n144: 768.74 ps
OR-n145: 585.52 ps
AND-n146: 706.93 ps
AND-n147: 752.62 ps
OR-n148: 706.93 ps
NOT-n150: 570.26 ps
AND-n152: 757.18 ps
OR-n153: 757.18 ps
OR-n154: 675.25 ps
OR-n155: 668.94 ps
NAND-n156: 668.94 ps
AND-n157: 950.44 ps
NOT-n158: 921.14 ps
NOT-n160: 791.94 ps
NOT-n162: 804.09 ps
NOT-n164: 797.52 ps
NOT-n166: 804.09 ps
NOT-n168: 797.52 ps
-n169: 1005.54 ps
NOT-n171: 804.09 ps
AND-n173: 942.75 ps
-n174: 1005.54 ps
AND-n175: 792.51 ps
NOT-n176: 763.19 ps
-n177: 1005.54 ps
-n178: 1005.54 ps
-n179: 1005.54 ps
-n180: 1005.54 ps
-n181: 1005.54 ps
-n182: 1005.54 ps
-n183: 1005.54 ps
-n184: 1005.54 ps
-n185: 1005.54 ps
-n186: 1005.54 ps
AND-n187: 792.51 ps
NOT-n188: 763.19 ps
-n189: 1005.54 ps
-n190: 1005.54 ps
-n191: 1005.54 ps
-n192: 1005.54 ps
-n193: 1005.54 ps
-n194: 1005.54 ps
-n195: 1005.54 ps
-n196: 1005.54 ps
-n197: 1005.54 ps
-n198: 1005.54 ps
-n199: 1005.54 ps
-n200: 1005.54 ps
-n201: 1005.54 ps
-n202: 1005.54 ps
-n203: 1005.54 ps
-n204: 1005.54 ps
-n205: 1005.54 ps
-n206: 1005.54 ps
-n207: 1005.54 ps
-n208: 1005.54 ps
-n209: 1005.54 ps
-n210: 1005.54 ps
-n211: 1005.54 ps
-n212: 1005.54 ps
-n213: 1005.54 ps
-n214: 1005.54 ps
-n215: 1005.54 ps
AND-n216: 938.85 ps
NOT-n217: 913.88 ps
NOT-n218: 983.69 ps
NOT-n219: 983.69 ps
NOT-n220: 983.69 ps
NOT-n221: 983.69 ps
NOT-n223: 943.37 ps
NOT-n225: 100.58 ps
NOT-n227: 763.89 ps
NOT-n229: 763.89 ps
NOT-n231: 161.23 ps
NAND-n234: 941.67 ps
NOT-n235: 983.69 ps
NOT-n236: 983.69 ps
NOT-n237: 983.69 ps
NOT-n238: 983.69 ps
-n239: 1005.54 ps
-n240: 1005.54 ps
-n241: 1005.54 ps
-n242: 1005.54 ps
-n243: 1005.54 ps
-n244: 1005.54 ps
-n245: 1005.54 ps
-n246: 1005.54 ps
-n247: 1005.54 ps
-n248: 1005.54 ps
-n249: 1005.54 ps
-n250: 1005.54 ps
-n251: 1005.54 ps
-n252: 1005.54 ps
-n253: 1005.54 ps
-n254: 1005.54 ps
-n255: 1005.54 ps
-n256: 1005.54 ps
-n257: 1005.54 ps
AND-n258: 977.99 ps
NOT-n259: 953.03 ps
NOT-n261: 881.69 ps
-n262: 1005.54 ps
-n263: 1005.54 ps
-n264: 1005.54 ps
-n265: 1005.54 ps
-n266: 1005.54 ps
-n267: 1005.54 ps
-n268: 1005.54 ps
-n269: 1005.54 ps
-n270: 1005.54 ps
-n271: 1005.54 ps
-n272: 1005.54 ps
-n273: 1005.54 ps
-n274: 1005.54 ps
-n275: 1005.54 ps
-n276: 1005.54 ps
-n277: 1005.54 ps
-n278: 1005.54 ps
-n279: 1005.54 ps
BUFF-n280: 730.28 ps
BUFF-n282: 684.90 ps
BUFF-n284: 719.76 ps
BUFF-n286: 755.33 ps
BUFF-n288: 777.18 ps
BUFF-n290: 777.18 ps
BUFF-n295: 487.44 ps
BUFF-n297: 730.28 ps
BUFF-n299: 780.21 ps
BUFF-n301: 769.69 ps
BUFF-n303: 760.69 ps
BUFF-n305: 777.18 ps
BUFF-n308: 91.41 ps
BUFF-n311: 561.10 ps
BUFF-n319: 819.97 ps
BUFF-n321: 719.76 ps
BUFF-n323: 684.90 ps
BUFF-n325: 872.54 ps
BUFF-n329: 283.67 ps
BUFF-n331: 487.44 ps
BUFF-n335: 973.74 ps
BUFF-n337: 973.74 ps
BUFF-n350: 973.74 ps
BUFF-n367: 973.74 ps
BUFF-n369: 973.74 ps
BUFF-n384: 973.74 ps
BUFF-n391: 951.95 ps
BUFF-n395: 533.20 ps
BUFF-n397: 488.62 ps
BUFF-n401: 743.27 ps
BUFF-n409: 973.74 ps
BUFF-n411: 973.74 ps
INP-n452: 962.37 ps
AND-n456: 273.64 ps
NOT-n462: 255.49 ps
NOT-n466: 327.75 ps
AND-n468: 327.75 ps
AND-n471: 126.57 ps
OR-n473: 126.57 ps
BUFF-n475: 233.67 ps
BUFF-n480: 926.96 ps
INP-n483: 950.44 ps
AND-n486: 886.99 ps
NOT-n487: 874.25 ps
AND-n490: 288.80 ps
AND-n492: 288.80 ps
NOT-n493: 275.90 ps
AND-n496: 284.92 ps
AND-n498: 284.92 ps
NOT-n499: 272.02 ps
AND-n502: 281.08 ps
AND-n504: 281.08 ps
NOT-n505: 268.18 ps
AND-n508: 277.33 ps
AND-n510: 277.33 ps
NOT-n511: 264.43 ps
BUFF-n516: 720.89 ps
OR-n519: 234.11 ps
AND-n521: 234.11 ps
NOT-n522: 221.21 ps
OR-n525: 230.27 ps
AND-n527: 230.27 ps
NOT-n528: 217.37 ps
AND-n531: 245.75 ps
AND-n533: 245.75 ps
NOT-n534: 232.85 ps
AND-n537: 241.87 ps
AND-n539: 241.87 ps
NOT-n540: 228.97 ps
INP-n543: 442.70 ps
AND-n546: 920.40 ps
NOT-n547: 910.22 ps
AND-n550: 802.69 ps
NOT-n551: 792.51 ps
AND-n552: 802.69 ps
NOT-n553: 792.51 ps
AND-n554: 792.51 ps
AND-n558: 907.74 ps
INP-n559: 833.05 ps
NOT-n560: 823.94 ps
NAND-n562: 619.08 ps
INP-n567: 880.01 ps
NAND-n569: 529.90 ps
NAND-n570: 541.34 ps
NAND-n571: 529.90 ps
NOT-n575: 517.02 ps
NAND-n578: 522.24 ps
NAND-n579: 518.18 ps
NAND-n580: 518.18 ps
NOT-n584: 505.29 ps
NAND-n587: 531.53 ps
NAND-n588: 520.03 ps
NAND-n589: 520.03 ps
BUFF-n592: 590.32 ps
NOT-n596: 577.63 ps
NAND-n599: 572.75 ps
NAND-n600: 584.19 ps
NAND-n601: 572.75 ps
NOT-n605: 559.87 ps
NAND-n608: 570.31 ps
NAND-n609: 566.25 ps
NAND-n610: 566.25 ps
BUFF-n613: 495.80 ps
NOT-n616: 486.81 ps
BUFF-n617: 495.81 ps
NOT-n620: 486.81 ps
BUFF-n621: 542.03 ps
NOT-n624: 533.04 ps
BUFF-n625: 542.04 ps
NOT-n628: 533.04 ps
AND-n629: 486.81 ps
AND-n630: 495.80 ps
NOR-n631: 486.81 ps
AND-n632: 486.81 ps
AND-n633: 495.81 ps
NOR-n634: 486.81 ps
AND-n635: 533.04 ps
AND-n636: 542.03 ps
NOR-n637: 533.04 ps
AND-n638: 533.04 ps
AND-n639: 542.04 ps
NOR-n640: 533.04 ps
NAND-n641: 475.28 ps
NAND-n642: 486.81 ps
NAND-n643: 475.28 ps
NOT-n644: 465.14 ps
NAND-n645: 596.97 ps
NAND-n646: 585.52 ps
NAND-n647: 585.52 ps
NAND-n648: 521.50 ps
NAND-n649: 533.04 ps
NAND-n650: 521.50 ps
INP-n651: 442.70 ps
BUFF-n654: 942.75 ps
BUFF-n655: 552.53 ps
BUFF-n658: 551.91 ps
INP-n661: 938.85 ps
NAND-n664: 205.30 ps
NAND-n665: 216.74 ps
NAND-n666: 205.30 ps
AND-n671: 272.03 ps
AND-n674: 245.15 ps
AND-n675: 248.68 ps
AND-n676: 268.15 ps
OR-n677: 248.68 ps
AND-n679: 248.68 ps
AND-n680: 205.30 ps
NAND-n681: 208.55 ps
AND-n682: 205.30 ps
NAND-n683: 208.55 ps
NAND-n684: 219.99 ps
OR-n685: 205.30 ps
NAND-n686: 519.86 ps
NOT-n687: 509.72 ps
AND-n688: 509.72 ps
NOT-n690: 498.72 ps
OR-n693: 230.59 ps
AND-n695: 230.59 ps
NOT-n696: 217.69 ps
OR-n699: 226.75 ps
AND-n701: 226.75 ps
NOT-n702: 213.85 ps
AND-n705: 242.24 ps
AND-n707: 242.24 ps
NOT-n708: 229.34 ps
AND-n711: 238.36 ps
AND-n713: 238.36 ps
NOT-n714: 225.46 ps
AND-n717: 285.28 ps
AND-n719: 285.28 ps
NOT-n720: 272.38 ps
AND-n723: 281.40 ps
AND-n725: 281.40 ps
NOT-n726: 268.50 ps
AND-n729: 277.56 ps
AND-n731: 277.56 ps
NOT-n732: 264.66 ps
AND-n735: 273.82 ps
AND-n737: 273.82 ps
NOT-n738: 260.92 ps
BUFF-n742: 282.92 ps
NOT-n743: 277.33 ps
BUFF-n748: 529.70 ps
BUFF-n749: 249.04 ps
NOT-n753: 230.27 ps
AND-n763: 234.11 ps
AND-n765: 252.96 ps
AND-n767: 230.27 ps
AND-n769: 249.12 ps
BUFF-n772: 486.62 ps
NOT-n784: 446.88 ps
BUFF-n795: 486.62 ps
NOT-n807: 446.88 ps
AND-n818: 606.64 ps
AND-n819: 606.56 ps
AND-n820: 606.56 ps
AND-n821: 646.30 ps
AND-n822: 465.19 ps
AND-n823: 465.11 ps
AND-n824: 465.11 ps
AND-n825: 504.85 ps
AND-n826: 460.18 ps
AND-n827: 460.10 ps
AND-n828: 460.10 ps
AND-n829: 499.84 ps
AND-n830: 482.92 ps
AND-n831: 482.84 ps
AND-n832: 482.84 ps
AND-n833: 522.58 ps
AND-n834: 446.95 ps
AND-n835: 446.88 ps
AND-n836: 446.88 ps
AND-n837: 486.62 ps
OR-n838: 606.56 ps
OR-n841: 465.11 ps
OR-n846: 460.10 ps
NOT-n852: 619.08 ps
OR-n854: 482.84 ps
OR-n857: 446.88 ps
INP-n860: 943.21 ps
NOT-n865: 931.15 ps
INP-n868: 924.76 ps
NOT-n875: 908.28 ps
AND-n881: 908.28 ps
AND-n882: 929.03 ps
AND-n883: 759.50 ps
AND-n884: 521.50 ps
AND-n885: 769.21 ps
AND-n886: 718.96 ps
AND-n887: 764.65 ps
AND-n889: 753.83 ps
AND-n891: 764.35 ps
AND-n893: 774.98 ps
OR-n894: 908.28 ps
OR-n895: 521.50 ps
OR-n896: 718.96 ps
OR-n897: 753.83 ps
OR-n898: 764.35 ps
NAND-n899: 192.10 ps
NAND-n900: 203.54 ps
NAND-n901: 192.10 ps
AND-n907: 299.78 ps
NAND-n908: 195.94 ps
NAND-n909: 207.38 ps
NAND-n910: 195.94 ps
AND-n915: 272.92 ps
NAND-n916: 199.78 ps
NAND-n917: 211.22 ps
NAND-n918: 199.78 ps
AND-n922: 272.92 ps
AND-n924: 240.37 ps
NAND-n925: 253.20 ps
NAND-n926: 264.64 ps
NAND-n927: 253.20 ps
NAND-n928: 176.54 ps
NAND-n929: 187.97 ps
NAND-n930: 176.54 ps
AND-n937: 288.15 ps
NAND-n938: 180.42 ps
NAND-n939: 191.85 ps
NAND-n940: 180.42 ps
AND-n946: 261.29 ps
NAND-n947: 151.58 ps
NAND-n948: 163.02 ps
NAND-n949: 151.58 ps
AND-n954: 228.62 ps
NAND-n955: 155.42 ps
NAND-n956: 166.86 ps
NAND-n957: 155.42 ps
AND-n961: 196.01 ps
NAND-n962: 198.26 ps
NAND-n963: 209.70 ps
NAND-n964: 198.26 ps
AND-n967: 217.23 ps
AND-n968: 241.53 ps
NOT-n969: 225.44 ps
AND-n970: 226.92 ps
AND-n971: 226.92 ps
AND-n972: 192.10 ps
OR-n973: 192.10 ps
NOT-n976: 175.62 ps
AND-n977: 169.20 ps
AND-n978: 212.24 ps
AND-n979: 212.24 ps
AND-n980: 151.58 ps
AND-n981: 151.58 ps
OR-n982: 151.58 ps
AND-n983: 169.20 ps
OR-n984: 151.58 ps
