Circuit delay: 1978.02 ps

Gate slacks:
INP-n1: 2003.13 ps
INP-n2: 2003.13 ps
INP-n3: 2003.13 ps
INP-n4: 2003.13 ps
INP-n5: 2003.13 ps
INP-n6: 2003.13 ps
INP-n7: 2003.13 ps
INP-n8: 2003.13 ps
INP-n9: 1976.26 ps
INP-n10: 1976.26 ps
INP-n11: 1976.26 ps
INP-n12: 1976.26 ps
INP-n13: 1976.26 ps
INP-n14: 1976.26 ps
INP-n15: 1976.26 ps
INP-n16: 1976.26 ps
INP-n17: 2128.96 ps
INP-n18: 2102.08 ps
INP-n19: 2102.08 ps
INP-n20: 2102.08 ps
INP-n21: 2102.08 ps
INP-n22: 2102.08 ps
INP-n23: 2102.08 ps
INP-n24: 2102.08 ps
INP-n25: 1976.23 ps
INP-n26: 1976.23 ps
INP-n27: 1976.23 ps
INP-n28: 1976.23 ps
INP-n29: 1976.23 ps
INP-n30: 1976.23 ps
INP-n31: 1976.23 ps
INP-n32: 1976.23 ps
INP-n33: 2069.51 ps
INP-n34: 2104.99 ps
INP-n35: 1622.21 ps
INP-n36: 2049.45 ps
INP-n37: 2127.08 ps
INP-n38: 2127.08 ps
INP-n39: 2127.08 ps
INP-n40: 2127.08 ps
INP-n41: 2127.08 ps
INP-n42: 2127.08 ps
INP-n43: 2127.08 ps
INP-n44: 2127.08 ps
INP-n45: 2127.08 ps
INP-n46: 2127.08 ps
INP-n47: 2127.08 ps
INP-n48: 2127.08 ps
INP-n49: 2127.08 ps
INP-n50: 2127.08 ps
INP-n51: 2127.08 ps
INP-n52: 2127.08 ps
INP-n53: 2127.08 ps
INP-n54: 2127.08 ps
INP-n55: 2127.08 ps
INP-n56: 2127.08 ps
INP-n57: 2127.08 ps
INP-n58: 2127.08 ps
INP-n59: 2127.08 ps
INP-n60: 2127.08 ps
INP-n61: 2127.08 ps
INP-n62: 2127.08 ps
INP-n63: 2127.08 ps
INP-n64: 2127.08 ps
INP-n65: 2127.08 ps
INP-n66: 2127.08 ps
INP-n67: 2127.08 ps
INP-n68: 2127.08 ps
INP-n69: 2127.08 ps
INP-n70: 2127.08 ps
INP-n71: 2127.08 ps
INP-n72: 2127.08 ps
INP-n73: 2127.08 ps
INP-n74: 2138.66 ps
INP-n75: 2134.69 ps
INP-n76: 2104.34 ps
INP-n77: 2104.34 ps
INP-n78: 2104.34 ps
INP-n79: 2104.34 ps
INP-n80: 2104.34 ps
INP-n81: 2104.34 ps
INP-n82: 2104.34 ps
INP-n83: 2104.34 ps
INP-n84: 2104.34 ps
INP-n85: 2104.34 ps
INP-n86: 2104.34 ps
INP-n87: 2104.34 ps
INP-n88: 2104.34 ps
INP-n89: 2104.34 ps
INP-n90: 2104.34 ps
INP-n91: 2128.87 ps
INP-n92: 2128.87 ps
INP-n93: 2128.87 ps
INP-n94: 2128.87 ps
INP-n95: 2128.87 ps
INP-n96: 2128.87 ps
INP-n97: 2128.87 ps
INP-n98: 2128.87 ps
INP-n99: 2128.87 ps
INP-n100: 2128.87 ps
INP-n101: 2128.87 ps
INP-n102: 2128.87 ps
INP-n103: 2128.87 ps
INP-n104: 2128.87 ps
INP-n105: 2128.87 ps
INP-n106: 2128.87 ps
NAND-n107: 1824.40 ps
NAND-n108: 1824.40 ps
NAND-n109: 1824.40 ps
NAND-n110: 1824.40 ps
NAND-n111: 1646.73 ps
NAND-n112: 1646.73 ps
NAND-n113: 1646.73 ps
NAND-n114: 1646.73 ps
NAND-n115: 1646.73 ps
NAND-n116: 1646.73 ps
NAND-n117: 1646.73 ps
NAND-n118: 1646.73 ps
NAND-n119: 1646.73 ps
NAND-n120: 1646.73 ps
NAND-n121: 1646.73 ps
NAND-n122: 1646.73 ps
NAND-n123: 1646.73 ps
NAND-n124: 1646.73 ps
NAND-n125: 1646.73 ps
NAND-n126: 1646.73 ps
NAND-n127: 1646.73 ps
NAND-n128: 1646.73 ps
NAND-n129: 1646.73 ps
NAND-n130: 1646.73 ps
NAND-n131: 1646.73 ps
NAND-n132: 1646.73 ps
NAND-n133: 1646.73 ps
NAND-n134: 1646.73 ps
NAND-n135: 1646.73 ps
NAND-n136: 1646.73 ps
NAND-n137: 1646.73 ps
NAND-n138: 1646.73 ps
NAND-n139: 1646.73 ps
NAND-n140: 1646.73 ps
INP-n141: 1573.40 ps
NAND-n142: 1790.45 ps
INP-n143: 1580.81 ps
NAND-n144: 1790.45 ps
INP-n145: 1607.55 ps
NAND-n146: 2023.03 ps
INP-n147: 1984.87 ps
NAND-n148: 1905.32 ps
INP-n149: 1984.87 ps
NAND-n150: 1905.32 ps
INP-n151: 1990.84 ps
AND-n152: 1911.45 ps
INP-n153: 1990.84 ps
AND-n154: 1911.45 ps
INP-n155: 1990.84 ps
AND-n156: 1911.45 ps
INP-n157: 1990.84 ps
AND-n158: 1911.45 ps
INP-n159: 1990.84 ps
AND-n160: 1911.45 ps
INP-n161: 1990.84 ps
AND-n162: 1911.45 ps
INP-n163: 1990.84 ps
AND-n164: 1911.45 ps
INP-n165: 1990.84 ps
AND-n166: 1911.45 ps
INP-n167: 1990.84 ps
AND-n168: 1911.45 ps
INP-n169: 1990.84 ps
AND-n170: 1911.45 ps
INP-n171: 1990.84 ps
AND-n172: 1911.45 ps
INP-n173: 1990.84 ps
AND-n174: 1911.45 ps
INP-n175: 1990.84 ps
AND-n176: 1911.45 ps
INP-n177: 1990.84 ps
AND-n178: 1911.45 ps
INP-n179: 1990.84 ps
AND-n180: 1911.45 ps
INP-n181: 1990.84 ps
AND-n182: 1911.45 ps
INP-n183: 1990.84 ps
AND-n184: 1911.45 ps
INP-n185: 1990.84 ps
AND-n186: 1911.45 ps
INP-n187: 1990.84 ps
AND-n188: 1911.45 ps
INP-n189: 1990.84 ps
AND-n190: 1911.45 ps
INP-n191: 1990.84 ps
AND-n192: 1911.45 ps
INP-n193: 1990.84 ps
AND-n194: 1911.45 ps
INP-n195: 1990.84 ps
AND-n196: 1911.45 ps
INP-n197: 1990.84 ps
AND-n198: 1911.45 ps
INP-n199: 1972.63 ps
AND-n200: 1911.45 ps
INP-n201: 1972.63 ps
AND-n202: 1911.45 ps
INP-n203: 1972.63 ps
AND-n204: 1911.45 ps
INP-n205: 1972.63 ps
AND-n206: 1911.45 ps
INP-n207: 1972.63 ps
AND-n208: 1911.45 ps
INP-n209: 1972.63 ps
AND-n210: 1911.45 ps
INP-n211: 1634.66 ps
NAND-n212: 835.78 ps
INP-n213: 1594.89 ps
NAND-n214: 854.45 ps
INP-n215: 1590.12 ps
NAND-n216: 810.45 ps
INP-n217: 1613.97 ps
NAND-n218: 866.86 ps
INP-n219: 861.62 ps
NAND-n220: 1540.28 ps
INP-n221: 868.54 ps
NAND-n222: 1540.28 ps
INP-n223: 860.04 ps
NAND-n224: 1540.28 ps
INP-n225: 850.09 ps
NAND-n226: 1540.28 ps
INP-n227: 862.00 ps
NAND-n228: 1540.28 ps
INP-n229: 868.76 ps
NAND-n230: 1540.28 ps
INP-n231: 849.78 ps
NAND-n232: 1540.28 ps
INP-n233: 1208.83 ps
NAND-n234: 1540.28 ps
INP-n235: 861.62 ps
NAND-n236: 1540.28 ps
INP-n237: 868.54 ps
NAND-n238: 1540.28 ps
INP-n239: 860.04 ps
NAND-n240: 1540.28 ps
INP-n241: 850.09 ps
NAND-n242: 1540.28 ps
INP-n243: 862.00 ps
NAND-n244: 1540.28 ps
INP-n245: 868.76 ps
NAND-n246: 1540.28 ps
INP-n247: 849.78 ps
NAND-n248: 1540.28 ps
INP-n249: 1208.83 ps
NAND-n250: 1540.28 ps
INP-n251: 861.62 ps
NAND-n252: 1540.28 ps
INP-n253: 868.54 ps
NAND-n254: 1540.28 ps
INP-n255: 860.04 ps
NAND-n256: 1540.28 ps
INP-n257: 850.09 ps
NAND-n258: 1540.28 ps
INP-n259: 862.00 ps
NAND-n260: 1540.28 ps
INP-n261: 868.76 ps
NAND-n262: 1540.28 ps
INP-n263: 849.78 ps
NAND-n264: 1540.28 ps
INP-n265: 1208.84 ps
NAND-n266: 1540.28 ps
INP-n267: 861.62 ps
NAND-n268: 1540.28 ps
INP-n269: 868.54 ps
NAND-n270: 1540.28 ps
INP-n271: 860.04 ps
NAND-n272: 1540.28 ps
INP-n273: 850.09 ps
NAND-n274: 1540.28 ps
INP-n275: 862.00 ps
NAND-n276: 1540.28 ps
INP-n277: 868.76 ps
NAND-n278: 1540.28 ps
INP-n279: 849.78 ps
NAND-n280: 1540.28 ps
INP-n281: 1208.84 ps
NAND-n282: 1540.28 ps
INP-n283: 861.62 ps
NAND-n284: 1540.28 ps
INP-n285: 868.54 ps
NAND-n286: 1540.28 ps
INP-n287: 860.04 ps
NAND-n288: 1540.28 ps
INP-n289: 850.09 ps
NAND-n290: 1540.28 ps
INP-n291: 862.00 ps
NAND-n292: 1540.28 ps
INP-n293: 868.76 ps
NAND-n294: 1540.28 ps
INP-n295: 849.78 ps
NAND-n296: 1540.28 ps
INP-n297: 1212.54 ps
NAND-n298: 1540.28 ps
INP-n299: 861.62 ps
NAND-n300: 1540.28 ps
INP-n301: 868.54 ps
NAND-n302: 1540.28 ps
INP-n303: 860.04 ps
NAND-n304: 1540.28 ps
INP-n305: 850.09 ps
NAND-n306: 1540.28 ps
INP-n307: 862.00 ps
NAND-n308: 1540.28 ps
INP-n309: 868.76 ps
NAND-n310: 1540.28 ps
INP-n311: 849.78 ps
NAND-n312: 1540.28 ps
INP-n313: 1212.54 ps
NAND-n314: 1540.28 ps
INP-n315: 861.62 ps
NAND-n316: 1540.28 ps
INP-n317: 868.54 ps
NAND-n318: 1540.28 ps
INP-n319: 860.04 ps
NAND-n320: 1540.28 ps
INP-n321: 850.09 ps
NAND-n322: 1540.28 ps
INP-n323: 862.00 ps
NAND-n324: 1540.28 ps
INP-n325: 868.76 ps
NAND-n326: 1540.28 ps
INP-n327: 849.78 ps
NAND-n328: 1540.28 ps
INP-n329: 1212.54 ps
NAND-n330: 1540.28 ps
INP-n331: 861.62 ps
NAND-n332: 1540.28 ps
INP-n333: 868.54 ps
