Circuit delay: 846.21 ps

Gate slacks:
INP-n1: 887.65 ps
BUFF-n2: 899.04 ps
BUFF-n3: 899.04 ps
INP-n5: 900.94 ps
INP-n9: 373.30 ps
INP-n12: 373.30 ps
INP-n15: 930.83 ps
INP-n18: 339.67 ps
INP-n23: 380.04 ps
INP-n26: 373.10 ps
INP-n29: 383.52 ps
INP-n32: 405.17 ps
INP-n35: 411.71 ps
INP-n38: 555.72 ps
INP-n41: 362.19 ps
INP-n44: 616.95 ps
INP-n47: 402.47 ps
INP-n50: 405.17 ps
INP-n53: 528.16 ps
INP-n54: 525.07 ps
INP-n55: 521.25 ps
INP-n56: 517.43 ps
INP-n57: 905.32 ps
INP-n58: 616.95 ps
INP-n59: 499.80 ps
INP-n60: 513.20 ps
INP-n61: 509.37 ps
INP-n62: 505.55 ps
INP-n63: 518.38 ps
INP-n64: 510.23 ps
INP-n65: 525.80 ps
INP-n66: 419.11 ps
INP-n69: 616.95 ps
INP-n70: 509.83 ps
INP-n73: 492.08 ps
INP-n74: 503.64 ps
INP-n75: 495.96 ps
INP-n76: 499.80 ps
INP-n77: 506.55 ps
INP-n78: 503.64 ps
INP-n79: 517.19 ps
INP-n80: 492.08 ps
INP-n81: 495.96 ps
INP-n82: 616.95 ps
INP-n83: 521.79 ps
INP-n84: 517.95 ps
INP-n85: 514.11 ps
INP-n86: 514.37 ps
INP-n87: 593.99 ps
INP-n88: 586.30 ps
INP-n89: 720.83 ps
INP-n94: 373.10 ps
INP-n97: 383.52 ps
INP-n100: 418.80 ps
INP-n103: 402.40 ps
INP-n106: 427.84 ps
INP-n109: 510.54 ps
INP-n110: 506.71 ps
INP-n111: 597.82 ps
INP-n112: 590.17 ps
INP-n113: 601.82 ps
INP-n114: 616.95 ps
INP-n115: 616.95 ps
INP-n118: 390.28 ps
INP-n121: 380.04 ps
INP-n124: 404.94 ps
INP-n127: 404.94 ps
INP-n130: 404.07 ps
INP-n133: 870.21 ps
INP-n134: 870.21 ps
INP-n135: 380.05 ps
INP-n138: 383.52 ps
INP-n141: 616.95 ps
INP-n144: 373.10 ps
INP-n147: 390.29 ps
INP-n150: 808.92 ps
INP-n151: 390.28 ps
INP-n152: 808.92 ps
INP-n153: 391.70 ps
INP-n154: 377.77 ps
INP-n155: 377.77 ps
INP-n156: 384.02 ps
INP-n157: 391.94 ps
INP-n158: 380.04 ps
INP-n159: 373.10 ps
INP-n160: 383.52 ps
INP-n161: 616.95 ps
INP-n162: 808.92 ps
INP-n163: 889.70 ps
INP-n164: 665.56 ps
INP-n165: 665.56 ps
INP-n166: 559.24 ps
INP-n167: 563.08 ps
INP-n168: 566.91 ps
INP-n169: 570.74 ps
INP-n170: 594.43 ps
INP-n171: 525.79 ps
INP-n172: 808.92 ps
INP-n173: 479.63 ps
INP-n174: 483.46 ps
INP-n175: 487.29 ps
INP-n176: 491.29 ps
INP-n177: 483.15 ps
INP-n178: 514.11 ps
INP-n179: 517.95 ps
INP-n180: 521.79 ps
INP-n181: 616.95 ps
INP-n182: 808.92 ps
INP-n183: 808.92 ps
INP-n184: 808.92 ps
INP-n185: 808.92 ps
INP-n186: 808.92 ps
INP-n187: 506.56 ps
INP-n188: 808.92 ps
INP-n189: 505.56 ps
INP-n190: 509.38 ps
INP-n191: 513.20 ps
INP-n192: 517.19 ps
INP-n193: 492.08 ps
INP-n194: 495.97 ps
