Circuit delay: 968.56 ps

Gate slacks:
NAND-n1: 410.74 ps
NAND-n2: 399.62 ps
NAND-n3: 399.62 ps
NAND-n4: 418.08 ps
NAND-n5: 406.96 ps
NAND-n6: 406.96 ps
NAND-n7: 418.08 ps
NAND-n8: 406.96 ps
NAND-n9: 406.96 ps
NAND-n10: 418.08 ps
NAND-n11: 406.96 ps
NAND-n12: 406.96 ps
NAND-n13: 393.80 ps
NAND-n14: 382.68 ps
NAND-n15: 382.68 ps
NAND-n16: 393.80 ps
NAND-n17: 382.68 ps
NAND-n18: 382.68 ps
NAND-n19: 393.80 ps
NAND-n20: 382.68 ps
NAND-n21: 382.68 ps
NAND-n22: 393.80 ps
NAND-n23: 382.68 ps
NAND-n24: 382.68 ps
NAND-n25: 393.80 ps
NAND-n26: 382.68 ps
NAND-n27: 382.68 ps
NAND-n28: 397.95 ps
NAND-n29: 386.82 ps
NAND-n30: 386.82 ps
NAND-n31: 402.45 ps
NAND-n32: 391.33 ps
NAND-n33: 391.33 ps
NAND-n34: 402.45 ps
NAND-n35: 391.33 ps
NAND-n36: 391.33 ps
NAND-n37: 402.45 ps
NAND-n38: 391.33 ps
NAND-n39: 391.33 ps
NAND-n40: 402.45 ps
NAND-n41: 391.33 ps
NAND-n42: 391.33 ps
NAND-n43: 397.95 ps
NAND-n44: 386.82 ps
NAND-n45: 386.82 ps
NAND-n46: 397.95 ps
NAND-n47: 386.82 ps
NAND-n48: 386.82 ps
NAND-n49: 142.17 ps
NAND-n50: 964.62 ps
AND-n51: 142.17 ps
NAND-n52: 964.62 ps
NAND-n53: 142.17 ps
AND-n54: 142.17 ps
NAND-n55: 96.86 ps
NAND-n56: 964.62 ps
AND-n57: 96.86 ps
NAND-n58: 964.62 ps
NAND-n59: 142.26 ps
AND-n60: 142.26 ps
NAND-n61: 142.26 ps
NAND-n62: 964.62 ps
AND-n63: 142.26 ps
NAND-n64: 964.62 ps
NAND-n65: 142.26 ps
AND-n66: 142.26 ps
NAND-n67: 250.87 ps
NAND-n68: 239.33 ps
NAND-n69: 239.33 ps
NAND-n70: 250.87 ps
NAND-n71: 239.33 ps
NAND-n72: 239.33 ps
AND-n73: 434.52 ps
AND-n74: 152.66 ps
NOR-n75: 152.66 ps
INP-n101: 399.73 ps
INP-n104: 365.95 ps
INP-n107: 365.95 ps
INP-n110: 424.64 ps
INP-n113: 409.91 ps
INP-n116: 376.14 ps
INP-n119: 376.13 ps
INP-n122: 396.04 ps
INP-n125: 396.03 ps
INP-n128: 396.04 ps
INP-n131: 417.89 ps
INP-n134: 384.12 ps
INP-n137: 384.11 ps
INP-n140: 396.04 ps
INP-n143: 366.62 ps
INP-n146: 366.61 ps
NOT-n149: 387.32 ps
NOT-n153: 355.95 ps
NOT-n156: 353.54 ps
NOT-n160: 409.84 ps
NOT-n165: 399.91 ps
NOT-n168: 366.13 ps
NOT-n171: 363.73 ps
NOT-n175: 383.63 ps
NOT-n179: 381.23 ps
NOT-n184: 383.63 ps
NOT-n188: 407.89 ps
NOT-n191: 374.12 ps
NOT-n194: 371.71 ps
NOT-n198: 383.64 ps
NOT-n202: 354.21 ps
NOT-n206: 354.21 ps
INP-n210: 452.41 ps
INP-n214: 363.19 ps
INP-n217: 464.54 ps
INP-n221: 444.39 ps
INP-n224: 445.85 ps
INP-n227: 430.09 ps
NAND-n231: 980.31 ps
NAND-n233: 980.31 ps
INP-n234: 442.39 ps
INP-n237: 361.48 ps
NOT-n241: 351.76 ps
NOT-n244: 500.79 ps
BUFF-n245: 422.93 ps
BUFF-n248: 491.80 ps
BUFF-n251: 364.71 ps
BUFF-n254: 334.21 ps
NAND-n257: 308.20 ps
NAND-n258: 296.76 ps
NAND-n259: 296.76 ps
NAND-n260: 297.35 ps
NAND-n261: 285.92 ps
NAND-n262: 285.92 ps
NOT-n265: 283.77 ps
NAND-n268: 391.22 ps
NOT-n269: 378.24 ps
NAND-n272: 307.54 ps
NAND-n273: 296.10 ps
NAND-n274: 296.10 ps
NAND-n277: 700.37 ps
NAND-n278: 688.93 ps
NAND-n279: 688.93 ps
NAND-n280: 246.92 ps
NAND-n281: 235.48 ps
NAND-n282: 235.48 ps
NOT-n285: 678.80 ps
NAND-n286: 142.17 ps
NAND-n287: 153.71 ps
BUFF-n288: 378.17 ps
BUFF-n291: 344.40 ps
NAND-n294: 349.30 ps
NAND-n295: 337.86 ps
NAND-n296: 337.86 ps
NAND-n297: 391.22 ps
NAND-n298: 394.49 ps
BUFF-n299: 365.37 ps
BUFF-n302: 331.60 ps
NAND-n305: 294.73 ps
NAND-n306: 283.29 ps
NAND-n307: 283.29 ps
NAND-n308: 302.58 ps
NAND-n309: 291.14 ps
NAND-n310: 291.14 ps
NOT-n314: 270.30 ps
AND-n318: 422.04 ps
BUFF-n321: 402.12 ps
NAND-n324: 252.97 ps
NAND-n325: 241.54 ps
NAND-n326: 241.54 ps
BUFF-n327: 386.15 ps
BUFF-n330: 352.38 ps
NAND-n333: 315.52 ps
NAND-n334: 304.08 ps
NAND-n335: 304.08 ps
NOT-n336: 288.63 ps
BUFF-n340: 282.10 ps
BUFF-n343: 248.28 ps
NAND-n346: 211.42 ps
NAND-n347: 199.98 ps
NAND-n348: 199.98 ps
NAND-n349: 142.17 ps
NAND-n350: 153.71 ps
AND-n352: 406.29 ps
BUFF-n355: 389.64 ps
NAND-n358: 827.14 ps
NAND-n359: 815.70 ps
NAND-n360: 815.70 ps
NAND-n361: 844.77 ps
NAND-n362: 848.05 ps
NAND-n363: 844.77 ps
NAND-n364: 696.97 ps
NAND-n365: 685.55 ps
NAND-n366: 685.55 ps
NOT-n367: 675.42 ps
AND-n369: 428.60 ps
NAND-n372: 391.17 ps
NAND-n373: 402.61 ps
NAND-n374: 391.17 ps
NAND-n375: 108.39 ps
NAND-n376: 96.86 ps
NAND-n377: 301.18 ps
NAND-n378: 289.65 ps
NAND-n379: 289.65 ps
BUFF-n382: 394.80 ps
BUFF-n385: 361.02 ps
NAND-n388: 337.80 ps
NAND-n389: 326.36 ps
NAND-n390: 326.36 ps
NAND-n391: 323.22 ps
NAND-n392: 311.67 ps
NAND-n393: 311.67 ps
NAND-n396: 359.83 ps
NAND-n397: 348.39 ps
NAND-n398: 348.39 ps
NAND-n399: 298.54 ps
NAND-n400: 287.12 ps
NAND-n401: 287.12 ps
NAND-n404: 420.61 ps
NAND-n405: 409.17 ps
NAND-n406: 409.17 ps
NOT-n407: 324.87 ps
BUFF-n410: 274.37 ps
NAND-n413: 237.49 ps
NAND-n414: 226.05 ps
NAND-n415: 226.05 ps
NAND-n416: 198.12 ps
NAND-n417: 209.54 ps
NAND-n418: 198.12 ps
