Circuit delay: 3251.59 ps

Gate slacks:
INP-n1: 2702.69 ps
INP-n2: 2738.54 ps
INP-n3: 2733.50 ps
INP-n4: 2700.40 ps
INP-n5: 2660.62 ps
INP-n6: 2620.85 ps
INP-n7: 2581.07 ps
INP-n8: 2541.30 ps
INP-n9: 2501.53 ps
INP-n10: 2461.75 ps
INP-n11: 2421.98 ps
INP-n12: 2382.20 ps
INP-n13: 2342.43 ps
INP-n14: 2302.65 ps
INP-n15: 2262.88 ps
INP-n16: 2223.11 ps
INP-n17: 2148.95 ps
INP-n18: 2115.88 ps
INP-n19: 2082.80 ps
INP-n20: 2049.72 ps
INP-n21: 2049.72 ps
INP-n22: 2087.83 ps
INP-n23: 2054.76 ps
INP-n24: 2021.68 ps
INP-n25: 2021.68 ps
INP-n26: 2032.88 ps
INP-n27: 1999.80 ps
INP-n28: 1999.80 ps
INP-n29: 1987.66 ps
INP-n30: 1977.00 ps
INP-n31: 2006.36 ps
INP-n32: 2006.36 ps
AND-n33: 2311.24 ps
NAND-n34: 2340.98 ps
NAND-n35: 2437.91 ps
NAND-n36: 2477.63 ps
NAND-n37: 2514.74 ps
NAND-n38: 2597.49 ps
NAND-n39: 2680.23 ps
NAND-n40: 2765.58 ps
NAND-n41: 2805.29 ps
NAND-n42: 2842.41 ps
NAND-n43: 2927.75 ps
NAND-n44: 2964.86 ps
NAND-n45: 3050.20 ps
NAND-n46: 3089.92 ps
NAND-n47: 3127.03 ps
NAND-n48: 3212.37 ps
NAND-n49: 3249.49 ps
NAND-n50: 3320.87 ps
NAND-n51: 3391.18 ps
NAND-n52: 3459.74 ps
OR-n53: 3489.44 ps
OR-n54: 3495.35 ps
INP-n55: 1616.41 ps
NAND-n56: 1804.99 ps
INP-n57: 1616.41 ps
NAND-n58: 1746.14 ps
INP-n59: 1616.41 ps
NAND-n60: 1755.42 ps
INP-n61: 1616.41 ps
NAND-n62: 1713.87 ps
INP-n63: 1616.41 ps
NAND-n64: 1721.68 ps
INP-n65: 1616.41 ps
NAND-n66: 1682.05 ps
INP-n67: 1616.41 ps
NAND-n68: 1682.35 ps
INP-n69: 1641.34 ps
NAND-n70: 1660.13 ps
INP-n71: 1641.34 ps
NAND-n72: 1625.88 ps
INP-n73: 1641.34 ps
NAND-n74: 1626.08 ps
INP-n75: 1616.41 ps
NAND-n76: 1626.08 ps
INP-n77: 1616.41 ps
NAND-n78: 1598.64 ps
INP-n79: 1616.41 ps
NAND-n80: 1564.33 ps
INP-n81: 1616.41 ps
NAND-n82: 1564.50 ps
INP-n83: 1616.41 ps
NAND-n84: 1564.50 ps
INP-n85: 1616.41 ps
NAND-n86: 1564.50 ps
INP-n87: 1616.41 ps
NAND-n88: 1558.67 ps
INP-n89: 1616.41 ps
NAND-n90: 1518.90 ps
INP-n91: 1616.41 ps
NAND-n92: 1479.12 ps
INP-n93: 1616.41 ps
NAND-n94: 1439.35 ps
INP-n95: 1641.34 ps
NAND-n96: 1399.57 ps
INP-n97: 1641.34 ps
NAND-n98: 1359.80 ps
INP-n99: 1641.34 ps
NAND-n100: 1320.03 ps
INP-n101: 1616.41 ps
NAND-n102: 1280.25 ps
INP-n103: 1616.41 ps
NAND-n104: 1240.48 ps
INP-n105: 1616.41 ps
NAND-n106: 1200.70 ps
INP-n107: 1616.41 ps
NAND-n108: 1160.93 ps
INP-n109: 1616.41 ps
NAND-n110: 1121.15 ps
INP-n111: 1616.41 ps
NAND-n112: 1081.38 ps
INP-n113: 1616.41 ps
NAND-n114: 1041.61 ps
INP-n115: 1745.30 ps
NAND-n116: 996.24 ps
INP-n117: 1760.22 ps
NAND-n118: 992.68 ps
INP-n119: 3032.94 ps
NAND-n120: 2788.98 ps
INP-n121: 3032.94 ps
NAND-n122: 2788.98 ps
INP-n123: 2926.56 ps
AND-n124: 2815.49 ps
INP-n125: 2926.56 ps
AND-n126: 2815.49 ps
INP-n127: 2926.56 ps
AND-n128: 2815.49 ps
INP-n129: 2926.56 ps
AND-n130: 2815.49 ps
INP-n131: 2926.56 ps
AND-n132: 2815.49 ps
INP-n133: 2965.77 ps
AND-n134: 2815.49 ps
INP-n135: 2965.77 ps
AND-n136: 2815.49 ps
