Circuit delay: 993.09 ps

Gate slacks:
INP-n1: 1081.23 ps
INP-n4: 772.80 ps
INP-n11: 997.73 ps
INP-n14: 997.73 ps
INP-n17: 997.73 ps
INP-n20: 997.73 ps
INP-n23: 982.95 ps
INP-n24: 983.04 ps
INP-n25: 982.95 ps
INP-n26: 983.04 ps
INP-n27: 938.68 ps
INP-n31: 938.68 ps
INP-n34: 1018.69 ps
INP-n37: 997.73 ps
INP-n40: 997.73 ps
INP-n43: 997.73 ps
INP-n46: 997.73 ps
INP-n49: 997.73 ps
INP-n52: 921.39 ps
INP-n53: 921.31 ps
INP-n54: 772.88 ps
INP-n61: 997.73 ps
INP-n64: 997.73 ps
INP-n67: 997.73 ps
INP-n70: 997.73 ps
INP-n73: 997.73 ps
INP-n76: 997.73 ps
INP-n79: 983.04 ps
INP-n80: 982.95 ps
INP-n81: 982.95 ps
INP-n82: 983.04 ps
INP-n83: 1018.68 ps
INP-n86: 1018.68 ps
INP-n87: 1018.69 ps
INP-n88: 1018.68 ps
INP-n91: 997.73 ps
INP-n94: 946.98 ps
INP-n97: 946.90 ps
INP-n100: 997.73 ps
INP-n103: 997.73 ps
INP-n106: 997.73 ps
INP-n109: 997.73 ps
INP-n112: 921.39 ps
INP-n113: 921.31 ps
INP-n114: 921.31 ps
INP-n115: 921.31 ps
INP-n116: 921.39 ps
INP-n117: 921.30 ps
INP-n118: 997.84 ps
INP-n119: 921.38 ps
INP-n120: 997.84 ps
INP-n121: 921.39 ps
INP-n122: 921.31 ps
INP-n123: 921.39 ps
INP-n126: 921.30 ps
INP-n127: 921.30 ps
INP-n128: 921.30 ps
INP-n129: 921.38 ps
INP-n130: 921.38 ps
INP-n131: 921.38 ps
INP-n132: 914.16 ps
INP-n135: 1022.48 ps
INP-n136: 1051.27 ps
INP-n137: 1046.87 ps
INP-n140: 1068.77 ps
INP-n141: 1047.69 ps
BUFF-n144: 1060.60 ps
INP-n145: 1051.27 ps
INP-n146: 982.83 ps
INP-n149: 982.83 ps
INP-n152: 982.83 ps
INP-n155: 982.83 ps
INP-n158: 982.83 ps
INP-n161: 982.83 ps
INP-n164: 982.83 ps
INP-n167: 982.83 ps
INP-n170: 982.83 ps
INP-n173: 982.83 ps
INP-n176: 996.36 ps
INP-n179: 996.36 ps
INP-n182: 982.83 ps
INP-n185: 982.83 ps
INP-n188: 982.83 ps
INP-n191: 982.83 ps
INP-n194: 982.83 ps
INP-n197: 982.83 ps
INP-n200: 982.83 ps
INP-n203: 982.83 ps
INP-n206: 622.51 ps
INP-n209: 622.51 ps
